単語,意味,品詞,出典_ミニラボ,出典_英検5級,出典_まぶたん,優先度,発音記号
call,呼ぶ・電話をかける,動,Unit1,,,🟡,kɔːl
love,愛する,動,Unit1,,,🟡,lʌv
fan,ファン,名,Unit1,,,🟢,fæn
often,しばしば・よく,副,Unit1,,,🟢,ɔːfn
with,〜といっしょに,前,Unit1,,,🟡,wɪð
but,しかし,接,Unit1,,,🟡,bʌt
draw,引く・描く,動,Unit1,,,🟢,drɔː
so,それで・では,接,Unit1,,,🟡,soʊ
about,〜について,前,Unit1,,,🟡,əbáʊt
lesson,授業・レッスン,名,Unit1,,,🟢,lésn
class,学級・授業,名,Unit2,,,🟡,klæs
our,私たちの,代,Unit2,,,🟡,áʊər
cannot,canの否定形,否,Unit2,,,🟡,kǽnɑt
some,いくつかの,形,Unit2,,,🟡,sʌm
parent,親,名,Unit2,,,🟢,péərənt
excuse,許す,動,Unit2,,,🟢,ɪkskjúːz
here,さあ・ここに,副,Unit2,,,🟡,hɪər
welcome,歓迎されて,形,Unit2,,,🟡,wélkəm
symbol,象徴・記号,名,Unit3,,,🟢,símbl
interesting,興味深い,形,Unit3,,,🟡,íntərəstɪŋ
favorite,好きな,形,Unit3,,No.126-150,🔴,féɪvərɪt
character,登場人物,名,Unit3,,,🟢,kærɪktər
also,〜もまた,副,Unit3,,No.151-200,🔴,ɔːlsoʊ
around,〜のまわりに,前,Unit3,,,🟢,əráʊnd
after,〜のあとに,前,Unit3,,,🟡,æftər
online,オンラインで,副,Unit3,,,🟢,ánlàɪn
luck,幸運,名,Unit3,,,🟢,lʌk
near,〜の近くに,前,Unit3,,,🟡,nɪər
puppy,子犬,名,Unit4,,,🟢,pʌpi
someday,いつの日か,副,Unit4,,,🟢,sʌmdèɪ
they,彼らは,代,Unit4,,,🟡,ðeɪ
noon,正午,名,Unit4,,,🟢,nuːn
last,最後の・この前の,形,Unit4,,,🟡,læst
like,〜のような,前,Unit4,,No.51-100,🔴,láɪk
nervous,緊張して,形,Unit4,,,🟢,nɑːrvəs
worry,心配する,動,Unit4,,,🟡,wɑːri
sheep,羊,名,Unit4,,,🟢,ʃiːp
right,正しい,形,Unit4,,,🟡,ráɪt
as,〜として,前,Unit5,,,🟡,æz
tour,遠征・観光,名,Unit5,,,🟢,túər
